ThreatLabel,Action,JA4,JA4Server,JA4HTTP,JA4TCP,JA4TCPServer,JA3,Blog,Malpedia,Website,GitHub
Covenant Grunt Stager,execute,t10i060500_4dc025c38c38_950472255fe9,t100400_c014_12a20535f9be,ge11cn030000_b0d6a43aa599_6efb8437d5a1_0277fba68047|po11cn040000_d157cf9277e4_6efb8437d5a1_9b856eebda45,65535_2-1-3-1-1-4_1460_8,64240_2-1-1-4-1-3_1460_9,43016d7f7f9336b17c884650d0d2545d,,https://malpedia.caad.fkie.fraunhofer.de/details/win.grunt,,https://github.com/cobbr/covenant
Covenant Grunt Stager,download,,t120400_c030_12a20535f9be,,65535_2-1-3-1-1-4_1460_8,64240_2-1-1-4-1-3_1460_9,,,https://malpedia.caad.fkie.fraunhofer.de/details/win.grunt,,https://github.com/cobbr/covenant
Cobalt Strike,,t12d190800_d83cc789557e_7af1ed941c26,,,,,,https://www.netresec.com/?page=Blog&month=2024-01&post=Hunting-for-Cobalt-Strike-in-PCAP,https://malpedia.caad.fkie.fraunhofer.de/details/win.cobalt_strike,,
Sliver,,t13d190900_9dc949149365_97f8aa674fd9,,,,,,,https://malpedia.caad.fkie.fraunhofer.de/details/win.sliver,https://sliver.sh,https://github.com/BishopFox/sliver
Brute Ratel,,,,,,,,https://unit42.paloaltonetworks.com/brute-ratel-c4-tool,,https://bruteratel.com/,
Mythic,,,,,,,,,,,https://github.com/its-a-feature/Mythic
MITRE Caldera,,,,,,,,,,https://caldera.mitre.org,https://github.com/mitre/caldera
Nettitude PoshC2,,,,,,,,https://securityscorecard.com/wp-content/uploads/2024/01/A-Deep-Dive-Into-a-PoshC2-Implant.pdf,,https://poshc2.readthedocs.io/en/latest,https://github.com/nettitude/PoshC2https://bruteratel.com
Havoc,,,,,,,,,,https://havocframework.com,https://github.com/HavocFramework/Havoc
Metasploit,,,,,,,,,,,
Burp,,,,,,,,,,,
Shadow Pad,,,,,,,,,,,