ThreatLabel,Action,Mode,Category,Tags,Filetype,Distribution,Behavior,Features,Language,Protocol,Target System,JA4,JA4Server,JA4HTTP,JA4TCP,JA4TCPServer,JA3,Blogs,Malpedia,MITRE ATT&CK,Website,GitHub
Covenant Grunt Stager,c2,beacon,implant,grunt,EXE|Shellcode,framework,,,C#|.NET,HTTPS|HTTP,Windows|MacOS|Linux,t10i060500_4dc025c38c38_950472255fe9,t100400_c014_12a20535f9be,ge11cn030000_b0d6a43aa599_6efb8437d5a1_0277fba68047|po11cn040000_d157cf9277e4_6efb8437d5a1_9b856eebda45,65535_2-1-3-1-1-4_1460_8,64240_2-1-1-4-1-3_1460_9,43016d7f7f9336b17c884650d0d2545d,,https://malpedia.caad.fkie.fraunhofer.de/details/win.grunt,https://attack.mitre.org/software/S1155,,https://github.com/cobbr/covenant
Covenant Grunt Stager,download,,implant,grunt,EXE|Shellcode,framework,,,C#|.NET,HTTPS,Windows|MacOS|Linux,,t120400_c030_12a20535f9be,,65535_2-1-3-1-1-4_1460_8,64240_2-1-1-4-1-3_1460_9,,,https://malpedia.caad.fkie.fraunhofer.de/details/win.grunt,https://attack.mitre.org/software/S1155,,https://github.com/cobbr/covenant
Cobalt Strike,,,,,,commercial,,,,,,t12d190800_d83cc789557e_7af1ed941c26,,,,,,https://www.netresec.com/?page=Blog&month=2024-01&post=Hunting-for-Cobalt-Strike-in-PCAP,https://malpedia.caad.fkie.fraunhofer.de/details/win.cobalt_strike,https://attack.mitre.org/software/S0154,https://web.archive.org/web/20210825130434/https://cobaltstrike.com/downloads/csmanual38.pdf,
Sliver,c2,beacon|session,implant,slivers,EXE,framework,,,Golang,HTTPS|HTTP|DNS|mTLS|WireGuard,Windows|MacOS|Linux,t13i131000_f57a46bbacb6_e5728521abd4,t130200_1303_a56c5b993250,po11nn050000_bb52516416a2_000000000000_000000000000|ge11cn040000_6d5a62ca5b6a_0945df871f4d_23029da484aa|po11cn050000_bb52516416a2_0945df871f4d_23029da484aa,65535_2-1-3-1-1-4_1460_8,64240_2-1-1-4-1-3_1460_9,006598cf32b8feecd39e4337bdba9c44,,https://malpedia.caad.fkie.fraunhofer.de/details/win.sliver,https://attack.mitre.org/software/S0634,https://sliver.sh,https://github.com/BishopFox/sliver
Brute Ratel C4 (BOLDBADGER),,,backdoor|agent,,,commercial,evasive,,,DoH|HTTP|HTTPS|SMB|TCP,,,,,,,,https://unit42.paloaltonetworks.com/brute-ratel-c4-tool,https://malpedia.caad.fkie.fraunhofer.de/details/win.brute_ratel_c4,https://attack.mitre.org/software/S1063,https://bruteratel.com,
Mythic,,,,,,framework,,,,,,,,,,,,,,https://attack.mitre.org/software/S0699,,https://github.com/its-a-feature/Mythic
MITRE Caldera,,,,,,framework,,,,,,,,,,,,,,,https://caldera.mitre.org,https://github.com/mitre/caldera
Nettitude PoshC2,,,,,,framework,,,Python|Powershell|C#|C++,,,,,,,,,https://securityscorecard.com/wp-content/uploads/2024/01/A-Deep-Dive-Into-a-PoshC2-Implant.pdf,https://malpedia.caad.fkie.fraunhofer.de/details/win.poshc2,https://attack.mitre.org/software/S0378,https://poshc2.readthedocs.io/en/latest,https://github.com/nettitude/PoshC2
Havoc,c2,beacon,implant|agent,demon,EXE|DLL|Shellcode,framework,evasive,sleep-obfuscation|indirect-syscalls|return-address-spoofing,Golang|C++|Python|Qt,HTTPS|HTTP|SMB,Windows,t13i201100_2b729b4bf6f3_e24568c0d440,t130200_1301_a56c5b993250,po11nn070000_517823f2c371_000000000000_000000000000,65535_2-1-3-1-1-4_1460_8,64240_2-1-1-4-1-3_1460_9,584900de6273bb0e673db58cc107a882,https://medium.com/@rashadsa/deploying-havoc-c2-for-command-and-control-operations-9abde445106e,https://malpedia.caad.fkie.fraunhofer.de/details/win.havoc,https://attack.mitre.org/software/S1229,https://havocframework.com,https://github.com/HavocFramework/Havoc
Metasploit,,,,,,framework,,,,,,,,,,,,,,,https://www.metasploit.com,https://github.com/rapid7/metasploit-framework
Burp Suite,,,,,,framework,,,,,,,,,,,,,,,https://portswigger.net/burp,
Zed Attack Proxy (ZAP),,,,,,framework,,,,,,,,,,,,,,,https://www.zaproxy.org,https://github.com/zaproxy/zaproxy
ShadowPad,,,,,,,,,,,,,,,,,,,,,,
Poison Ivy,,,,,,,,,,,,,,,,,,https://www.huntress.com/threat-library/malware/poison-ivy,https://malpedia.caad.fkie.fraunhofer.de/details/win.poison_ivy,https://attack.mitre.org/software/S0012,,
Ligolo-ng,,,,,,framework,,,,,,,,,,,,,,,,https://github.com/nicocha30/ligolo-ng
AADInternals,get access token,,Identity and Access Management (IAM),Microsoft Graph API|Outlook|Sharepoint|Teams|OneNote|Entra ID,,framework,,access-token|refresh-token|inspection|manipulation|Multi Factor Authentication (MFA)|Single-sign-on (SSO),PowerShell,HTTPS,Microsoft Entra ID|Azure Active Directory (AAD)|Microsoft Office 365,t12d180700_4b22cbed5bed_2dae41c691ec,,,65535_2-1-3-1-1-4_1460_8,,6a5d235ee78c6aede6a61448b4e9ff1e,https://aadinternals.com/post/just-looking,,https://attack.mitre.org/software/S0677,https://aadinternals.com,https://github.com/gerenios/aadinternals
AzureHound,,,,,,framework,,,,,,,,,,,,,,,,https://github.com/SpecterOps/AzureHound
TokenTactics,get access token|dump OWA mailbox,,Identity and Access Management (IAM),Microsoft Graph API|Outlook|Sharepoint|Teams|Entra ID,,framework,,access-token|refresh-token|JSON Web Token (JWT)|dump mailbox,PowerShell,HTTPS,Microsoft Entra ID|Azure Active Directory (AAD)|Microsoft Office 365,t12d180700_4b22cbed5bed_2dae41c691ec,,,65535_2-1-3-1-1-4_1460_8,,6a5d235ee78c6aede6a61448b4e9ff1e,https://hackpotter.com/microsoft-azure-device-code-vishing-101.html|https://0xboku.com/2021/07/12/ArtOfDeviceCodePhish.html#aad-reconnaissance,,,,https://github.com/rvrsh3ll/TokenTactics
TokenTacticsV2,get Entra ID token,,Identity and Access Management (IAM),Microsoft Graph API|Outlook|OneDrive|Sharepoint|Teams|Azure Storage|Azure Key Vault|Entra ID,,framework,,access-token|refresh-token|JSON Web Token (JWT),PowerShell,HTTPS,Microsoft Entra ID|Azure Active Directory (AAD)|Microsoft Office 365,t12d180700_4b22cbed5bed_2dae41c691ec,,,65535_2-1-3-1-1-4_1460_8,,6a5d235ee78c6aede6a61448b4e9ff1e,,,,,https://github.com/f-bader/TokenTacticsV2
GraphRunner,,,,,,framework,,,,,,,,,,,,,,,,https://github.com/dafthack/GraphRunner
GraphSpy,generate device code,,API|Identity and Access Management (IAM),Microsoft Graph API|Outlook|Sharepoint|Teams|Entra ID,,framework,,device-code-flow|acess-token|refresh-token|Multi Factor Authentication (MFA),Python,HTTPS,"Microsoft Entra ID|Azure Active Directory (AAD)|Microsoft Office 365",t13d9013h1_c6771aded2ed_57a60bdf03d1,,ge11cr10enus_1e25179330e9_57b7887b63f1_c2c4e5f2aafc,65495_2-4-8-1-3_65495_9,,1d573f07cf9592c93700cd3f524279e0,https://insights.spotit.be/2024/04/05/graphspy-the-swiss-army-knife-for-attacking-m365-entra,,,https://github.com/RedByte1337/GraphSpy/wiki,https://github.com/RedByte1337/GraphSpy
ROADtools,,,,,,framework,,,Python,,,,,,,,,https://medium.com/@mgbecken/roadtools-1e9dabc2c8e9,,https://attack.mitre.org/software/S0684,,https://github.com/dirkjanm/roadtools
Pupy,,,,,,,,,,,,,,,,,,,,https://attack.mitre.org/software/S0192,,https://github.com/n1nj4sec/pupy
SILENTTRINITY,,,,,,,,,Python|C#|.NET,,,,,,,,,https://medium.com/@threathuntingteam/silent-trinity-research-report-7df7ab88f78c,,https://attack.mitre.org/software/S0692,,https://github.com/byt3bl33d3r/SILENTTRINITY
